date,open,high,low,close
1384559100,5601.04,5603,5251,5300
1384559400,5300,5618,5230,5521
1384559700,5555,5600,5511.11,5598
1384560000,5573.57,5648,5540,5540
1384560300,5561,5594.99,5513,5517
1384560600,5517,5532.34,5329,5398
1384560900,5364.78,5444,5350,5400
1384561200,5357.77,5400,5230.01,5250
1384561500,5250,5299.99,5020,5030
1384561800,5052,5400,5011.12,5200
1384562100,5187,5394.9,5187,5300
1384562400,5300,5398.98,5261,5275
1384562700,5275,5275,5100,5111.01
1384563000,5132.97,5200,5132,5195
1384563300,5194.99,5260,5163.53,5226.09
1384563600,5226.09,5260,5135,5155
1384563900,5155,5164.55,5050,5059.99
1384564200,5051,5100,5023,5050.06
1384564500,5050.06,5088,4800,4800
1384564800,4999.99,5000,4500,4500
1384565100,4511,4511,4010.01,4010.01
1384565400,4150,4499.99,4000,4300
1384565700,4300,4900,4251,4848
1384566000,4800,5213,4800,5200
1384566300,5200,5299,4727.25,4790
1384566600,4727.25,4999,4600.01,4900
1384566900,4850,5100,4821,4940
1384567200,4940,4975,4601,4690
1384567500,4666,4870,4601.14,4760.1
1384567800,4799,4799,4650,4700
1384568100,4699.97,4723,4610.1,4700.83
1384568400,4700,4722.97,4611,4647.88
1384568700,4630.09,4648,4501.14,4510
1384569000,4549.97,4599,4450,4488
1384569300,4460,4508,4450,4500
1384569600,4500,4950,4480,4800.08
1384569900,4799,4988,4700,4730
1384570200,4731,4849.99,4699.99,4699.99
1384570500,4700,4820,4560,4656
1384570800,4616.65,4774.99,4590,4711.11
1384571100,4719,4800,4710.01,4800
1384571400,4800,4900,4771,4861
1384571700,4861.03,5000,4861.03,5000
1384572000,5000,5288,4995,5200
1384572300,5200,5350,5000,5276
1384572600,5261.4,5276,5151.1,5179.97
1384572900,5179.97,5200,5000.11,5040
1384573200,5040,5099,5022,5060
1384573500,5053.62,5081,5022,5030
1384573800,5030,5150,5020.01,5139
1384574100,5138.97,5249,5124.76,5244
1384574400,5200,5230,5100.1,5200
1384574700,5197.96,5200.02,5164,5200.02
1384575000,5198,5300,5191,5250
1384575600,5292.01,5378.99,5292.01,5378.99
1384575900,5379,5600,5300,5597
1384576200,5597,5698,5511,5568.62
1384576500,5561,5590,5304,5330
1384576800,5330,5560,5300.01,5415.01
1384577100,5415.01,5500,5400,5419
1384577400,5429.03,5450,5315.88,5339.68
1384577700,5338,5450.01,5319.01,5449
1384578000,5450.01,5600,5450.01,5570
1384578300,5569.99,5649,5550,5600.1
1384578600,5628,5645,5556,5558
1384578900,5620,5679.99,5555,5668.47
1384579200,5668.47,5978,5662.4,5950.03
1384579500,5982,6142.97,5920.01,5960
1384579800,5960,6000,5865,5905
1384580100,5947,6050,5930,6047.99
1384580400,6005.03,6050,5800.1,5800.11
1384580700,5800.1,5900,5645.2,5667.21
1384581000,5666.24,5676.73,5380,5598
1384581300,5550.05,5892.01,5502.12,5555.01
1384581600,5555.01,5779.84,5555.01,5680.03
1384581900,5692.01,5800,5630.2,5778.99
1384582200,5682.81,5720,5650,5690
1384582500,5670.03,5688.84,5620,5620
1384582800,5620,5650,5510,5620
1384583100,5630,5768.99,5620,5670
1384583400,5670.03,5769,5647,5700
1384583700,5650.26,5717,5650,5650
1384584000,5670,5673,5605,5605
1384584300,5605.03,5611,5568.01,5600
1384584600,5600,5674.89,5600,5631.05
1384584900,5631.02,5631.02,5610,5614.99
1384585200,5622.67,5635,5590,5593.97
1384585500,5590.01,5590.01,5528.63,5528.63
1384585800,5539.86,5540,5518,5527.9
1384586100,5523.04,5523.04,5503.01,5503.01
1384586400,5506,5528,5500,5528
1384586700,5528,5600,5526.95,5584.24
1384587000,5591.9,5597.67,5550,5590
1384587300,5556.42,5580,5500,5500.1
1384587600,5500.09,5500.1,5350,5369.97
1384587900,5360.03,5507.25,5350,5500
1384588200,5500.98,5500.98,5420,5420
1384588500,5458.96,5458.96,5400,5411.94
1384588800,5411.96,5419.26,5104,5280
1384589100,5279.99,5285,5112.55,5137
1384589400,5149.28,5181.07,5100.01,5143.38
1384589700,5104,5143.37,5013,5017.8
1384590000,5017.77,5249,5013,5243
1384590300,5242.99,5300,5211,5292.39
1384590600,5300,5370.1,5300,5347.97
1384590900,5349.97,5349.97,5181.02,5264.7
1384591200,5264.7,5400,5260,5339.26
1384591500,5300.01,5345,5236.85,5267.42
1384591800,5239.86,5250,5200,5218.75
1384592100,5218.78,5289,5215,5289
1384592400,5292.93,5300,5251.2,5300
1384592700,5294.36,5300,5269.28,5269.54
1384593000,5269.46,5269.6,5181.01,5205.34
1384593300,5204.99,5260,5200,5260
1384593600,5260.15,5311.99,5254.04,5284.08
